Domain, V1, V2, V3, V34, V4, V5, Ishort, BRK_STAT, Ibrk
0.00075,221.363837726,220.267075836,107.449018263,0.0,107.449018263,88.0916110219,0.38714814482,0.0,0.365940752945
0.00076,221.119814209,220.013375979,107.050136718,0.0,107.050136718,87.254364538,0.395915443598,0.0,0.36925705007
0.00077,220.872648091,219.756517349,106.561170708,0.0,106.561170708,86.3314340321,0.404594733527,0.0,0.372577205913
0.00078,220.622342883,219.49649608,105.983740923,0.0,105.983740923,85.3248635025,0.413177548403,0.0,0.375903501733
0.00079,220.368902143,219.233308494,105.319645029,0.0,105.319645029,84.2368632916,0.421655634743,0.0,0.379238174136
0.0008,220.112329474,218.96695112,104.570853209,0.0,104.570853209,83.069804802,0.430020968148,0.0,0.38258341044
0.00081,219.852628521,218.69742071,103.739503354,0.0,103.739503354,81.8262148971,0.438265769133,0.0,0.385941344161
0.00082,219.589802975,218.424714247,102.827895914,0.0,102.827895914,80.5087699955,0.446382518377,0.0,0.389314050622
0.00083,219.323856573,218.148828966,101.838488444,0.0,101.838488444,79.1202898757,0.454363971371,0.0,0.392703542715
0.00084,219.054793093,217.869762363,100.773889825,0.0,100.773889825,77.6637312041,0.462203172425,0.0,0.396111766804
0.00085,218.782616359,217.587512206,99.6368542014,0.0,99.6368542014,76.1421808001,0.469893468025,0.0,0.399540598777
0.00086,218.507330241,217.302076554,98.4302746308,0.0,98.4302746308,74.5588486559,0.477428519498,0.0,0.402991840275
0.00087,218.228938649,217.013453759,97.1571764716,0.0,97.1571764716,72.9170607233,0.484802314967,0.0,0.406467215085
0.00088,217.947445541,216.721642485,95.8207105153,0.0,95.8207105153,71.2202514864,0.492009180577,0.0,0.409968365705
0.00089,217.662854918,216.426641714,94.4241458842,0.0,94.4241458842,69.4719563358,0.499043790968,0.0,0.413496850106
0.0009,217.375170823,216.128450759,92.9708627079,0.0,92.9708627079,67.6758037592,0.505901178973,0.0,0.417054138676
0.00091,217.084397346,215.827069269,91.4643445956,0.0,91.4643445956,65.8355073692,0.51257674453,0.0,0.420641611358
0.00092,216.79053862,215.52249724,89.908170921,0.0,89.908170921,63.9548577816,0.519066262787,0.0,0.424260554997
0.00093,216.49359882,215.214735023,88.3060089351,0.0,88.3060089351,62.0377143654,0.525365891394,0.0,0.427912160886
0.00094,216.193582166,214.903783331,86.6616057273,0.0,86.6616057273,60.0879968795,0.531472176957,0.0,0.431597522528
0.00095,215.890492924,214.589643244,84.9787800484,0.0,84.9787800484,58.1096770158,0.537382060651,0.0,0.435317633607
0.00096,215.584335399,214.272316215,83.2614140162,0.0,83.2614140162,56.1067698665,0.543092882996,0.0,0.43907338618
0.00097,215.275113944,213.951804078,81.5134447206,0.0,81.5134447206,54.0833253328,0.548602387755,0.0,0.442865569091
0.00098,214.962832953,213.628109046,79.7388557451,0.0,79.7388557451,52.0434194952,0.553908724997,0.0,0.4466948666
0.00099,214.647496865,213.301233723,77.9416686249,0.0,77.9416686249,49.9911459614,0.55901045327,0.0,0.450561857252
0.001,214.32911016,212.971181097,76.1259342583,0.0,76.1259342583,47.9306072119,0.563906540928,0.0,0.454467012955
0.00101,214.007677364,212.637954553,74.2957242895,0.0,74.2957242895,45.8659059602,0.568596366587,0.0,0.4584106983
0.00102,213.683203046,212.301557863,72.455122482,0.0,72.455122482,43.8011365464,0.573079718712,0.0,0.4623931701
0.00103,213.355691816,211.961995195,70.6082161003,0.0,70.6082161003,41.7403763824,0.577356794359,0.0,0.466414577164
0.00104,213.025148329,211.61927111,68.7590873174,0.0,68.7590873174,39.6876774648,0.581428197051,0.0,0.470474960294
0.00105,212.691577284,211.273390561,66.9118046668,0.0,66.9118046668,37.6470579756,0.585294933823,0.0,0.474574252508
0.00106,212.354983421,210.924358889,65.0704145564,0.0,65.0704145564,35.6224939854,0.588958411421,0.0,0.478712279497
0.00107,212.015371523,210.572181825,63.2389328622,0.0,63.2389328622,33.617911278,0.592420431684,0.0,0.482888760298
0.00108,211.672746417,210.216865487,61.4213366179,0.0,61.4213366179,31.6371773122,0.595683186114,0.0,0.487103308185
0.00109,211.327112973,209.858416369,59.6215558197,0.0,59.6215558197,29.6840933374,0.598749249646,0.0,0.491355431795
0.0011,210.978476104,209.496841346,57.843465361,0.0,57.843465361,27.7623866786,0.601621573647,0.0,0.495644536448
0.00111,210.626840763,209.132147663,56.090877114,0.0,56.090877114,25.8757032069,0.604303478141,0.0,0.499969925701
0.00112,210.272211948,208.764342931,54.3675321752,0.0,54.3675321752,24.02760001,0.606798643302,0.0,0.504330803087
0.00113,209.9145947,208.393435119,52.6770932889,0.0,52.6770932889,22.2215382781,0.609111100217,0.0,0.50872627408
0.00114,209.5539941,208.019432549,51.0231374651,0.0,51.0231374651,20.4608764176,0.611245220951,0.0,0.51315534824
0.00115,209.190415275,207.642343889,49.4091488061,0.0,49.4091488061,18.7488634089,0.613205707943,0.0,0.517616941566
0.00116,208.823863391,207.262178139,47.8385115553,0.0,47.8385115553,17.0886324186,0.614997582734,0.0,0.522109879021
0.00117,208.454343657,206.878944629,46.3145033841,0.0,46.3145033841,15.4831946797,0.616626174089,0.0,0.526632897257
0.00118,208.081861326,206.492653007,44.8402889271,0.0,44.8402889271,13.9354336518,0.618097105506,0.0,0.531184647495
0.00119,207.706421691,206.103313224,43.4189135806,0.0,43.4189135806,12.4480994725,0.619416282162,0.0,0.535763698593
0.0012,207.328030088,205.710935534,42.0532975754,0.0,42.0532975754,11.0238037093,0.620589877321,0.0,0.54036854026
0.00121,206.946691895,205.315530472,40.7462303349,0.0,40.7462303349,9.66501442351,0.621624318228,0.0,0.544997586431
0.00122,206.562412531,204.917108849,39.5003651304,0.0,39.5003651304,8.3740515541,0.622526271526,0.0,0.549649178787
0.00123,206.175197458,204.515681739,38.3182140424,0.0,38.3182140424,7.15308263065,0.623302628236,0.0,0.554321590416
0.00124,205.785052179,204.111260463,37.202143238,0.0,37.202143238,6.00411882259,0.623960488308,0.0,0.559013029597
0.00125,205.391982239,203.703856583,36.1543685729,0.0,36.1543685729,4.92901133207,0.624507144816,0.0,0.563721643711
0.00126,204.995993225,203.293481882,35.176951526,0.0,35.176951526,3.92944813651,0.62495006779,0.0,0.568445523269
0.00127,204.597090763,202.880148354,34.271795474,0.0,34.271795474,3.00695108644,0.625296887751,0.0,0.57318270603
0.00128,204.195280524,202.46386819,33.4406423118,0.0,33.4406423118,2.16287336314,0.625555378973,0.0,0.577931181232
