Domain, V1, V2, V3, V34, V4, Ishort, BRK_STAT, Ibrk
0.00077,220.872648091,219.77631339,91.693577379,0.0,91.693577379,0.429276273922,0.0,0.367238202995
0.00078,220.622342883,219.514964831,89.9195120766,0.0,89.9195120766,0.437456484545,0.0,0.370880845165
0.00079,220.368902143,219.250352853,88.1835797934,0.0,88.1835797934,0.44555064284,0.0,0.374566800023
0.0008,220.112329474,218.982484581,86.4851988886,0.0,86.4851988886,0.453559410815,0.0,0.37829468933
0.00081,219.852628521,218.711367137,84.8238626918,0.0,84.8238626918,0.46148342149,0.0,0.382063408448
0.00082,219.589802975,218.437007644,83.1990493606,0.0,83.1990493606,0.469323308903,0.0,0.385871790068
0.00083,219.323856573,218.159413221,81.610249309,0.0,81.610249309,0.477079699244,0.0,0.389718704531
0.00084,219.054793093,217.878590993,80.0569570475,0.0,80.0569570475,0.48475321349,0.0,0.393603030489
0.00085,218.782616359,217.59454808,78.5386734428,0.0,78.5386734428,0.492344466738,0.0,0.397523663024
0.00086,218.507330241,217.307291608,77.0549050001,0.0,77.0549050001,0.499854068455,0.0,0.401479511163
0.00087,218.228938649,217.016828699,75.605163982,0.0,75.605163982,0.507282622487,0.0,0.405469498354
0.00088,217.947445541,216.723166483,74.1889682969,0.0,74.1889682969,0.514630727121,0.0,0.409492562128
0.00089,217.662854918,216.426312088,72.8058414512,0.0,72.8058414512,0.521898975142,0.0,0.413547653985
0.0009,217.375170823,216.126272647,71.4553124848,0.0,71.4553124848,0.529087953883,0.0,0.417633739222
0.00091,217.084397346,215.823055294,70.136915912,0.0,70.136915912,0.536198245282,0.0,0.421749796775
0.00092,216.79053862,215.51666717,68.8501916621,0.0,68.8501916621,0.543230425932,0.0,0.425894819068
0.00093,216.49359882,215.207115416,67.5946850204,0.0,67.5946850204,0.550185067135,0.0,0.430067811855
0.00094,216.193582166,214.894407182,66.3699465701,0.0,66.3699465701,0.557062734953,0.0,0.434267794069
0.00095,215.890492924,214.578549619,65.1755321347,0.0,65.1755321347,0.563863990262,0.0,0.43849379767
0.00096,215.584335399,214.259549885,64.0110027211,0.0,64.0110027211,0.570589388798,0.0,0.442744867493
0.00097,215.275113944,213.937415142,62.8759244632,0.0,62.8759244632,0.577239481214,0.0,0.447020061108
0.00098,214.962832953,213.612152561,61.769868566,0.0,61.769868566,0.583814813125,0.0,0.451318448665
0.00099,214.647496865,213.283769316,60.6924112504,0.0,60.6924112504,0.590315925158,0.0,0.455639112755
0.001,214.32911016,212.95227259,59.6431336988,0.0,59.6431336988,0.596743353004,0.0,0.459981148266
0.00101,214.007677364,212.617669572,58.6216220009,0.0,58.6216220009,0.603097627464,0.0,0.46434366224
0.00102,213.683203046,212.279967486,57.6280965771,0.0,57.6280965771,0.609320856989,0.0,0.468724505789
0.00103,213.355691816,211.939173614,56.6627277338,0.0,56.6627277338,0.614930453434,0.0,0.47312415244
0.00104,213.025148329,211.595294851,55.7152894731,0.0,55.7152894731,0.618579726271,0.0,0.477561284167
0.00105,212.691577284,211.248336565,54.7593904223,0.0,54.7593904223,0.619009168226,0.0,0.482048579774
0.00106,212.354983421,210.898302439,53.7811232617,0.0,53.7811232617,0.616736022202,0.0,0.486548521484
0.00107,212.015371523,210.545196373,52.7984449728,0.0,52.7984449728,0.61330865498,0.0,0.491035545687
0.00108,211.672746417,210.18902406,51.8342693926,0.0,51.8342693926,0.609719360551,0.0,0.495525308018
0.00109,211.327112973,209.829792699,50.8998203537,0.0,50.8998203537,0.606351464923,0.0,0.500024467362
0.0011,210.978476104,209.467510091,49.9969332125,0.0,49.9969332125,0.603154526286,0.0,0.504543402455
0.00111,210.626840763,209.102184082,49.1238232923,0.0,49.1238232923,0.600125508723,0.0,0.509077048447
0.00112,210.272211948,208.733822474,48.2803380229,0.0,48.2803380229,0.597264580739,0.0,0.513625307195
0.00113,209.9145947,208.362433083,47.4659325322,0.0,47.4659325322,0.594567462897,0.0,0.51818720075
0.00114,209.5539941,207.988023724,46.6801206685,0.0,46.6801206685,0.592031936615,0.0,0.522761754064
0.00115,209.190415275,207.610602209,45.9224321973,0.0,45.9224321973,0.589655087098,0.0,0.527348103632
0.00116,208.823863391,207.230176356,45.1923922881,0.0,45.1923922881,0.587434269633,0.0,0.531945343042
0.00117,208.454343657,206.846753979,44.4895376207,0.0,44.4895376207,0.585366799394,0.0,0.536552603927
0.00118,208.081861326,206.460342899,43.8134087058,0.0,43.8134087058,0.58345004528,0.0,0.541169022265
0.00119,207.706421691,206.070950935,43.163552798,0.0,43.163552798,0.581681401899,0.0,0.545793750526
0.0012,207.328030088,205.678585913,42.5395227624,0.0,42.5395227624,0.58005829714,0.0,0.550425953287
0.00121,206.946691895,205.283255658,41.9408773606,0.0,41.9408773606,0.578578189595,0.0,0.55506480844
0.00122,206.562412531,204.884968001,41.3671810673,0.0,41.3671810673,0.577238568831,0.0,0.559709506594
0.00123,206.175197458,204.483730777,40.8180040383,0.0,40.8180040383,0.576036954882,0.0,0.564359251039
0.00124,205.785052179,204.079551826,40.2929220313,0.0,40.2929220313,0.574970897954,0.0,0.569013257552
0.00125,205.391982239,203.672438991,39.7915163431,0.0,39.7915163431,0.574037978082,0.0,0.573670754244
0.00126,204.995993225,203.262400121,39.3133737427,0.0,39.3133737427,0.5732358048,0.0,0.578330981398
0.00127,204.597090763,202.849443072,38.858086406,0.0,38.858086406,0.572562016812,0.0,0.582993191318
0.00128,204.195280524,202.433575704,38.4252518513,0.0,38.4252518513,0.572014281673,0.0,0.58765664817
0.00129,203.790568218,202.014805884,38.0144728762,0.0,38.0144728762,0.571590295466,0.0,0.592320627835
0.0013,203.382959597,201.593141487,37.6253574939,0.0,37.6253574939,0.571287782485,0.0,0.596984417754
0.00131,202.972460454,201.168590393,37.2575188712,0.0,37.2575188712,0.571104494921,0.0,0.601647316781
0.00132,202.559076623,200.741160491,36.910575267,0.0,36.910575267,0.571038212557,0.0,0.606308635035
0.00133,202.142813979,200.310859677,36.5841499714,0.0,36.5841499714,0.571086742453,0.0,0.610967693759
0.00134,201.723678439,199.877695856,36.2778712453,0.0,36.2778712453,0.571247918651,0.0,0.615623825171
0.00135,201.301675958,199.441676942,35.9913722613,0.0,35.9913722613,0.57151960187,0.0,0.620276372326
0.00136,200.876812535,199.002811003,35.7277586029,0.0,35.7277586029,0.571900799598,0.0,0.624917704325
0.00137,200.449094208,198.561107873,35.524082926,0.0,35.524082926,0.572399119103,0.0,0.629485602569
0.00138,200.018527055,198.116585682,35.5360490517,0.0,35.5360490517,0.573039574935,0.0,0.633799701276
0.00139,199.585117197,197.669282417,36.0703327387,0.0,36.0703327387,0.573835681627,0.0,0.637723782417
0.0014,199.148870792,197.21925941,37.3641682391,0.0,37.3641682391,0.574736603846,0.0,0.641503933751
0.00141,198.709794041,196.766583422,39.3061559055,0.0,39.3061559055,0.575671581958,0.0,0.645552757507
0.00142,198.267893183,196.311301558,41.5482236485,0.0,41.5482236485,0.576642706964,0.0,0.649897188228
0.00143,197.823174501,195.853434618,43.8238535016,0.0,43.8238535016,0.577691000798,0.0,0.65432872135
0.00144,197.375644313,195.392987775,46.033940621,0.0,46.033940621,0.578839810993,0.0,0.6587165778
0.00145,196.92530898,194.929961705,48.1718009507,0.0,48.1718009507,0.58009633697,0.0,0.663008972589
0.00146,196.472174903,194.464357189,50.245619902,0.0,50.245619902,0.581453960397,0.0,0.667231719213
0.00147,196.016248521,193.996175362,52.2545332048,0.0,52.2545332048,0.582911436136,0.0,0.671380744993
0.00148,195.557536314,193.525417433,54.2002079542,0.0,54.2002079542,0.584466373397,0.0,0.675458585335
0.00149,195.096044802,193.052084773,56.0838358991,0.0,56.0838358991,0.586116515497,0.0,0.679467128745
0.0015,194.631780544,192.576178893,57.9065958302,0.0,57.9065958302,0.587859695334,0.0,0.683407911224
0.00151,194.164750137,192.097701446,59.669688946,0.0,59.669688946,0.589693731505,0.0,0.687282682768
0.00152,193.694960219,191.616654226,61.3742733969,0.0,61.3742733969,0.591616493457,0.0,0.691093042681
0.00153,193.222417467,191.133039163,63.0214999381,0.0,63.0214999381,0.593625872167,0.0,0.694840603065
